SL,sentence,sentiment
789,"কিছু টিপস: turnip পিষ্টক, রোস্ট শুয়োরের বন এবং ডিম custards ",negative
790,Bagels কল্পিত হয়।,positive
791," তারপরও অবশ্যই কোন আসন উপলব্ধ নেই,ওহ হ্যাঁ, এবং তারা ফোন মিথ্যা বলেছে, তারা বাগানে বসা আছে ",negative
792,"যদিও তারা সাধারণত কি ধরনের জল চান আপনি প্রশ্ন করলাম পরিষেবা  ভাল চান ছিল, এবং সামগ্রিকভাবে খাওয়া রাখার জন্য খুব শিথিল।",positive
793,"যদিও তারা সাধারণত কি ধরনের জল চান আপনি প্রশ্ন করলাম পরিষেবা  ভাল চান ছিল, এবং সামগ্রিকভাবে খাওয়া রাখার জন্য খুব শিথিল।",positive
794," জায়গাটি তার মহান ছিল,খাবারটি খুব ভালো ছিল, এবং এটি একটি মহান চুক্তি।",positive
795," জায়গাটি তার মহান ছিল,খাবারটি খুব ভালো ছিল, এবং এটি একটি মহান চুক্তি।",positive
796,খাদ্যের বিকল্প নিয়ম।,positive
797,একটি মহান চুক্তি এ একটি মহান পছন্দ এবং কোন খরচ,positive
798,একটি মহান চুক্তি এ একটি মহান পছন্দ এবং কোন খরচ,positive
799,"যে কেউ এই জায়গা পছন্দ করে একটি ভিন্ন গ্রহ থেকে হতে হবে, যেখানে গ্লাস, শুষ্ক এবং গুঁড়ো প্রশংসাসূচক।",negative
800,"আমরা মার্চ, 2006 এ এখানে খেয়েছি এবং ওয়াইন ফ্লাইট সঙ্গে প্রাক থিয়েটার 3-কোর্স ডিনারের আদেশ নিয়েছি ।",negative
801,নিশ্চিতভাবে এটি পরীক্ষিত আউট !!!,positive
802,"সম্ভবত লাঞ্চের জন্য বেশ ব্যস্ত, এটি কমপক্ষে ডিনারের জন্য ভিড় হয়েছে (ডাউনটাইম থেকে খুব কাছাকাছি)।",negative
803,"তাদের calzones ভয়ানক হয়, খারাপ, বমি-উত্সাহ, YUCK",negative
804,এটা পান করার জন্য চিরতরে লাগে এবং তারা প্রায় সবসময় কিছু আনতে ভুলে যায় (যদিও তারা এটি জন্য আপনি চার্জ করা ভুলবেন না।,negative
805,"জায়গাটি খুব সুন্দর,  আবার দৃশ্যটি ঘটছে বলে মনে হচ্ছে।",positive
806, 6 ই নভেম্বর শনিবার আমরা প্রায় 35 জন লোকের সাথে কাজ থেকে একটি গ্রুপ পেয়েছিলাম এবং স্টাফ আমাদের আশ্চর্যজনক ছিল।,positive
807,"ভাল স্প্রেড, মহান পানীয় নির্বাচন এবং bagels সত্যিই সুস্বাদু",positive
808,"প্রথম, ওয়েটার যারা আমাদের পরিবেশন এবং আমাদের বিশেষ বিশেষ গূণ পূরণ করতে অবহেলা করে , আমি যা বেছে নিই হবে এবং আমি তাদের সম্পর্কে জানেন।",negative
809,আমরা ফিরে আসছি.,positive
810,"এছাড়াও, tiramisu একটি সুস্বাদু এবং নিখুঁত স্লাইস সঙ্গে খাবার শীর্ষক।",positive
811,মনে হচ্ছে এই জায়গাটি স্থানীয়দের মতো এবং এখানে যারা কাজ করছে তারাও এটি পছন্দ করে।,positive
812,গোপনে ফিরে রুম দেখেন,positive
813,"এটি এঞ্জেল্স শেয়ারের সাথে সংযুক্ত, যা একটি শান্ত, আরো রোমান্টিক বার ...",positive
814,"খাঁটি খাবার এবং তাদের কাছে সত্যিকারের সেবা আছে, যখন তারা আপনাকে দরজা খুলে দেওয়ার চেষ্টা করে, আপনি কেবল দৌড়ানোর জন্য নয়। ",positive
815,"খাঁটি খাবার এবং তাদের কাছে সত্যিকারের সেবা আছে, যখন তারা আপনাকে দরজা খুলে দেওয়ার চেষ্টা করে, আপনি কেবল দৌড়ানোর জন্য নয়। ",positive
816,ছিদ্রটি ছিল গোলাম জানুন।,positive
817,"আমি দরিদ্র পর্যালোচনা দ্বারা বিস্মিত am- আমি এই জায়গা ইতালীয় সঙ্গে বন্য একটি এলাকায় স্ট্যাংয়াইট হতে খুঁজে - মহান মূল্য, মহান বায়ুমণ্ডল, ভাল সেবা এবং একটি চমৎকার ওয়াইন তালিকা।",positive
818,"আমি দরিদ্র পর্যালোচনা দ্বারা বিস্মিত am- আমি এই জায়গা ইতালীয় সঙ্গে বন্য একটি এলাকায় স্ট্যাংয়াইট হতে খুঁজে - মহান মূল্য, মহান বায়ুমণ্ডল, ভাল সেবা এবং একটি চমৎকার ওয়াইন তালিকা।",positive
819,"আমি দরিদ্র পর্যালোচনা দ্বারা বিস্মিত am- আমি এই জায়গা ইতালীয় সঙ্গে বন্য একটি এলাকায় স্ট্যাংয়াইট হতে খুঁজে - মহান মূল্য, মহান বায়ুমণ্ডল, ভাল সেবা এবং একটি চমৎকার ওয়াইন তালিকা।",positive
820,"আমি দরিদ্র পর্যালোচনা দ্বারা বিস্মিত am- আমি এই জায়গা ইতালীয় সঙ্গে বন্য একটি এলাকায় স্ট্যাংয়াইট হতে খুঁজে - মহান মূল্য, মহান বায়ুমণ্ডল, ভাল সেবা এবং একটি চমৎকার ওয়াইন তালিকা।",positive
821,আমি পিছনে টেবিল এ ডাইনিং সঙ্গে পিছনে ফিরে ছিলাম এবং তারা আমাদের বললো অপেক্ষা করুন আবার  বললো অতীতে চিপা হিসাবে কর্মীদের আমাদের মাথা উপর লাফানো ছিল ।,negative
822,আমি পিছনে টেবিল এ ডাইনিং সঙ্গে পিছনে ফিরে ছিলাম এবং তারা আমাদের বললো অপেক্ষা করুন আবার  বললো অতীতে চিপা হিসাবে কর্মীদের আমাদের মাথা উপর লাফানো ছিল ।,negative
823,থিয়েটার সঙ্গে 2 ব্লক দূরে আমাদের একটি সুন্দর রুম মধ্যে একটি সুস্বাদু খাবার ছিল।,positive
824,থিয়েটার সঙ্গে 2 ব্লক দূরে আমাদের একটি সুন্দর রুম মধ্যে একটি সুস্বাদু খাবার ছিল।,positive
825,"আমি প্রথম মরিয়মের সম্পর্কে একটু লেইস ছিলাম - এটি ছোট, ভিড় এবং আপনি সাধারণত লাইন অপেক্ষা করতে হবে - কিন্তু আমি খুশি আমি অবশেষে চেষ্টা করেছি",negative
826,"আমি প্রথম মরিয়মের সম্পর্কে একটু লেইস ছিলাম - এটি ছোট, ভিড় এবং আপনি সাধারণত লাইন অপেক্ষা করতে হবে - কিন্তু আমি খুশি আমি অবশেষে চেষ্টা করেছি",positive
827,আমরা এই সামান্য রত্ন দ্বারা অন্তত বিট হতাশ না হয়।,positive
828,এছাড়াও খুব সস্তা।,positive
829,"আমরা ডিনারের জন্য অনেকবার আদেশ দিয়েছি,কিন্তু আমরা কেবল রেস্টুরেন্টে একবার খাওয়া করেছি।",negative
830,আমি ফিরে আসার যথেষ্ট কারণ পেয়েছি !!!,positive
831,দূরে এই একমাত্র চীনা ডেজার্ট আমি নিউ ইয়র্ক বা কোথাও কোথাও ঘুরে উত্তর আমেরিকার যে ডালপালা ডিমের সাথে বিভিন্ন ধরনের এবং ডুমুর ফালি আদা একটি দারুণ কালো ভিনেগার simmered মধ্যে ডেজার্ট সেবা আছে জানেন।,positive
832,যুক্তিসঙ্গত দামের মহান খাদ্য ।,positive
833,যুক্তিসঙ্গত দামের মহান খাদ্য ।,positive
834,অক্ষর সত্যিই একটি উপভোগ্য অভিজ্ঞতা জন্য তৈরি।,positive
835,আপনি যদি থাই পাউরুটি পছন্দ করেন তবে আমি অবশ্যই সাগরকে সুপারিশ করব,positive
836,"বছর ধরে হোস্ট, ভিট্রোরিও, এবং তার ক্রু, সবসময় আমার পরিবার হিসাবে চিকিত্সা করেছে - যদিও সমস্ত ব্যবসা এই না-সামান্য মণির সঙ্গে, এমনকি এটি আশ্চর্যজনক তিনি একটি সুসংগত কিন্তু না এত ঘন ঘন পরিদর্শক মনে করতে সক্ষম  ।",positive
837,"রেস্টুরেন্টটা বেশ বড় নয়, কিন্তু বেশ কয়েকটি টেবিল আছে বলে মনে হচ্ছে বেশিরভাগ গ্রুপের আভ্যন্তরীণ তাইওয়ানি খেয়ে খেয়ে বাঁচানোর জন্য",negative
838,"রেস্টুরেন্টটা বেশ বড় নয়, কিন্তু বেশ কয়েকটি টেবিল আছে বলে মনে হচ্ছে বেশিরভাগ গ্রুপের আভ্যন্তরীণ তাইওয়ানি খেয়ে খেয়ে বাঁচানোর জন্য",positive
839,"রেস্টুরেন্টটা বেশ বড় নয়, কিন্তু বেশ কয়েকটি টেবিল আছে বলে মনে হচ্ছে বেশিরভাগ গ্রুপের আভ্যন্তরীণ তাইওয়ানি খেয়ে খেয়ে বাঁচানোর জন্য",positive
840,"এমনকি তিনি বলেছিলেন যে ফ্রেঞ্চ ফ্রাই তার সেরাটা ছিল,আমার স্বামী বলেছিলেন সে আরও কিছু খাওয়াতে পারত, যা আমার পক্ষে ভাল লাগত ।",negative
841,আপনি এই জায়গায় ভুল করতে পারেন না।,positive
842,রাকস ডিনারের স্থান যা এটি পুরানো বন্ধুদের মধ্যে চালানোর জায়গা  ।,positive
843,নিয়মিত মেনু-ভাড়া পর্যন্ত খাবারগুলি সুস্বাদু  বিশেষ করে খাবারগুলি হতাশার নয়।,positive
844,লাইনে দাম  আছে।,negative
845,"একটি ভাল পিজাতে টমেটো টাটকা সস, তাজা মজেজ পনির, তুঁত এবং আধা কেজি আমদানীযুক্ত আটা সংমিশ্রণ, থাকে",positive
846,খাদ্য দ্রুত এবং দক্ষতার সাথে প্রস্তুত করা হয়।,positive
847,আমার ভাগ্যে একটি ছোট শেল ছিল যা আমি আউট করেছি,negative
848,"সমস্ত ভারতীয় খাবার জন্য আপনি প্যানার রোলের চেষ্টা করুন,এটা স্বর্গের একটি টুকর",positive
849,"যেহেতু খাদ্য খুব স্বাদযুক্ত এবং সুস্বাদু ছিল,তাই এটি বিভিন্ন অভিনব প্লেটের উপর এসেছিল ।",positive
850,"উভয় প্লেইন পনির slice , তাজা mozzarella স্লাইস অসাধারণ ছিল ।",positive
851,আমি কুরি সারিতে প্রতিটি রেস্টুরেন্ট আক্ষরিক চেষ্টা করেছি,negative
852,"আমি সব খরচ এড়াতে বলছি,খাদ্য সামগ্রিকভাবে ভয়ানক ছিল",negative
853,"আমি এই দৈত্য সুশি দুইবার হয়েছে, 46th স্টাট একবার, 23rd একটি এক বার কতবার",negative
854,"দুর্ভাগ্যবশত, খাদ্যের কিছু সম্পর্কে কাজ করতে কিছু ছিল না।",negative
855,"ক্রসবি স্ট্রিটে পাকিস্তানি গবাদিপশুর সাথে খাপ খাইবার জন্য এটি ক্রমাগত উন্মুক্ত, তাই আপনার চেয়ে আশা করা খাদ্যের চেয়েও বেশি টার্নওভার রয়েছে (যেমন, আশ্চর্যজনকভাবে তাজা)।",positive
856,"ক্রসবি স্ট্রিটে পাকিস্তানি গবাদিপশুর সাথে খাপ খাইবার জন্য এটি ক্রমাগত উন্মুক্ত, তাই আপনার চেয়ে আশা করা খাদ্যের চেয়েও বেশি টার্নওভার রয়েছে (যেমন, আশ্চর্যজনকভাবে তাজা)।",positive
857,আমার ফাইলট মাইনন এর সঙ্গে রসুন মেশ ছিলো।,negative
858,"আমি বিশেষত প্রাক থিয়েটার মেনু দেখে (শেভর, স্টেক ফ্রাইট, ক্রম ব্রুয়েল সঙ্গে শেডযুক্ত টমেটো স্যুপ জন্য $ 19.95) জন্য 6:00 PM গিয়েছিলাম এবং এটি বিস্ময়কর ছিল।",positive
859,"আমি বিশেষত প্রাক থিয়েটার মেনু দেখে (শেভর, স্টেক ফ্রাইট, ক্রম ব্রুয়েল সঙ্গে শেডযুক্ত টমেটো স্যুপ জন্য $ 19.95) জন্য 6:00 PM গিয়েছিলাম এবং এটি বিস্ময়কর ছিল।",positive
860,"অপেক্ষাস্থল ছিল স্নেহপূর্ণ, বিনয়ী এবং সহায়ক - যেমন বন্ধ চতুর্থাংশে একটি চিত্তাকর্ষক কৃতিত্ব।",positive
861,"আপনি ছেড়ে যেতে চাইলে হবে না,ভিতরে যান",positive
862,আমি এখানে বন্ধুদের আনয়ন প্রেমময় করি - আমি প্রতিটি সুযোগ করে দিতে ।,positive
864,"হ্যাঁ, দাম উচ্চ, কিন্তু আমার কাছে এটার মূল্য ছিল অনুভূত।",negative
866,"সর্বদা পাওয়া যায় যে ওয়েটাররা তাদের পথ থেকে বাইরে যেতে সহায়ক হবে, যদিও তারা প্রায়ই প্রচুর ডিনের সাথে ব্যস্ত থাকে।",positive
867,"যদিও এটি ক্লাসিক্যাল রেস্টুরেন্টের ভাড়া নয়, তবে শেফ কিছু পুরানো রন্ধনপ্রণালীতে নতুন জীবন দিয়েছেন যা কিছু সত্যিই উদ্ভাবনী এবং সুস্বাদু খাবারের সাথে সত্যিকার অর্থে ভারতীয় যা ভারী বা একই পুরনো রেস্তোরাঁয় পোকার বহির্ভূত নয়।",positive
868,মালিক সত্যিই আপনার সব চাহিদা পূরণ করবে,positive
869,তিনি তার খাদ্য এবং তার ব্যবসার মধ্যে বাস্তব গর্ব করেন,positive
870,তিনি তার খাদ্য এবং তার ব্যবসার মধ্যে বাস্তব গর্ব করেন,positive
871,নিউ ইয়র্কের প্রতিটি সময় আমি স্মিথ স্ট্রিট রেষ্টুরেন্ট শৌল দেখার জন্য এটির একটি পয়েন্ট এটি করেছি।,positive
872,আমার প্রেমিক এবং আমি অন্য রাতে আমার জন্মদিন উদযাপন করতে সেখানে গিয়েছিলাম এবং আমি বলতে পারি যে এটি ছিল মহৎ উদ্দেশ্য।,positive
873,"তাই যদি আপনি Montparnasse একটি সুন্দর, উপভোগ্য খাবার চান, প্রাক থিয়েটার প্রিক্স-ফিক্সের জন্য প্রারম্ভিক যান।",positive
874,"তাই যদি আপনি Montparnasse একটি সুন্দর, উপভোগ্য খাবার চান, প্রাক থিয়েটার প্রিক্স-ফিক্সের জন্য প্রারম্ভিক যান।",positive
875,"বছর ধরে, এটি সর্বদা মানের খাবার এবং ওয়াইনের সাথে আনন্দদায়ক ডাইনিংয়ের অভিজ্ঞতা প্রদান করে।",positive
876,আমার থো ফিরে যেতে হবে।,positive
877,"Photobook মেনু একটি চতুর স্পর্শ ছিল, অবশ্যই আমার গ্রুপের সাহায্যে এবং আমি ভাজা মুরগির বাছাই করি, শুয়োরের মাংস কাটা, এবং নুডল খাবার যা আমরা সব আদেশ দেওয়া",positive
878,কিছু বাকি ছিল কিন্তু মাত্র দুইজনের জন্য খুব বড় ।,positive
879,আমি সমস্ত শহরের সেরায় ভারতীয় খাবার কল্পনা করতে পারি না।,positive
880,একটি তারিখ জন্য মহান রোমান্টিক জায়গা (একটু গোপনীয়তা জন্য কোণার বুথ টেবিল পেতে এবং বন্ধ করার চেষ্টা করেন!)।,positive
881,একটি সুন্দর আশ্চর্য,positive
882,"ম্যানেজার মূলত আমাকে অন্যত্র আমার ব্যবসা নিতে বলেছিলেন ,আমি একটি খোলা সম্মুখীন পনির স্যান্ডউইচ এর জন্য জিজ্ঞাসা করি ।",negative
883,যদি আপনি যে সব শব্দ মনে না করে অতঃপর চার্ট হাউস যান।,negative
884,আমরা আমাদের বাড়িতে ফিরে এটি অধিকাংশ পেয়েছিলাম।,negative
885,আগে সেখানে 7pm  পান,negative
886,খুব ভালো রুটিও,positive
887,"যদি এই হয়, শুধু বাস্তব naan এর জন্য জিজ্ঞাসা করুন।",negative
888,"আমরা শনিবার রাতের বিকল্পের অর্ধ-মূল্যের সমর্থক ছিলাম, যখন সাম্প্রতিক এক সাক্ষাৎকারে কিছু অদ্ভুত স্কুইজ ছিল।",negative
889,"আমরা শনিবার রাতের বিকল্পের অর্ধ-মূল্যের সমর্থক ছিলাম, যখন সাম্প্রতিক এক সাক্ষাৎকারে কিছু অদ্ভুত স্কুইজ ছিল।",positive
890,"আমি এটা চেষ্টা করে বলতে পারি সুতরাং, যদি সত্যিই আপনি আপনার পাশে বসা যারা যত্ন নেন, যা প্রায় 2 ইঞ্চি দূরে হয়।",negative
891,"পিজা খুব চমত্কার, যেমন হোমডেড পাস্তা।",positive
892,নিশ্চিতভাবে কটি আশপাশ প্রিয়,positive
893,এটি সব স্ট্যান্ড পয়েন্ট বিশেষ করে অর্থের মূল্য।,positive
894,আমার প্রথম সাক্ষাত্কার একটি বন্ধু সঙ্গে শুক্রবার সন্ধ্যায় ঘটেছে।,negative
895,উদাহরণ হল স্যুপ যা প্রায় $ 12 ডলারের জন্য 6 ওজ এবং মাশরুম যেখানে প্রায় 1oz এর জন্য 1২ ডলার।,positive
896,"পরিসেবাটি ঠিক পাঁচ তারকা নয়, তবে সত্যিই একটি বড় চুক্তি না।",negative
897,অন্যান্য মানুষ অপেক্ষা করছে!,negative
898,"আমরা স্বাদ অনুভূতি দ্বারা আনন্দিত ছিলাম,শুরুতে এপেটাইজার থেকে, স্ক্ল্পগুলি অবিশ্বাস্য ছিল, চকোলেটের সুস্বাদু চকোলেট সসফেলের সাথে রাস্পবেরি টাকশালের শবের সাথে",positive
899,আপনার এই রেস্তোরাঁটিতে চেষ্টা করা উচিত,positive
900,"আমরা চলে যাই, কখনো ফিরে আসব না",negative
901,সঙ্গতভাবে ভাল জাপানি Tapas।,positive
902, কোন ক্ষমা এই সপ্তাহে রেস্টুরেন্টে ।,negative
903,"মাছ থেকে চাল থেকে সিওয়াইড পর্যন্ত সবকিছুই আশ্চর্যজনকআমারা ধার্মিকতা, ।",positive
904, এই রেস্টুরেন্টের জন্য সপ্তাহের জন্য তারা একটি দুর্দান্ত কাজ করে ,negative
905,সপ্তাহের জন্য তারা একটি দুর্দান্ত কাজ করে এই রেস্টুরেন্টের জন্য  ।,positive
906,"আমি এই রেস্তোরাঁয় গিয়েছিলাম, একটি মহিলার সম্প্রতি পূরণ করেছি।",negative
907,"প্রস্তাবিত খাবারগুলি ছিল মেষশাবকের সসেজগুলি থেকে সুস্বাদু এবং পিস্তাপের আইসক্রিম তাজা, বিস্কুট সহ সার্ডিনস, বড় বড় চিংড়ি থেকে আশ্চর্যজনক  (আমার সবচেয়ে ভালো এবং সবচেয়ে উজ্জ্বল)।",positive
908,এই হল যেখানে aforementioned লাইন ছিল।,negative
909,মধ্যপন্থী দাম এবং খাদ্য নির্ভরযোগ্য  ,positive
910,মধ্যপন্থী দাম এবং খাদ্য নির্ভরযোগ্য  ,negative
911,"পাশাপাশি দাড়িওয়ালা, কোয়ার্ডোয়ার ব্লাজার প্রফেসর টাইপের মতো এনওয়াইউ শিক্ষার্থীর সাথে তিনি যে সপ্তাহে ঘুমাচ্ছেন, আপনি হিপস্টারদের একটি অদ্ভুত মিশ্রণ দেখেছেন, ভ্রাম্যমান ছেলেদের, উইল স্মিথের কথা বলার দরকার আছে যে তারা কালো, দু: এখনো বিবাহিত ....",negative
912," খাদ্য এবং সেবা অনেক ভাল হতে পারে, যদিও Ambiance এবং বায়ুমণ্ডল মহান ছিল।",negative
913," খাদ্য এবং সেবা অনেক ভাল হতে পারে, যদিও Ambiance এবং বায়ুমণ্ডল মহান ছিল।",negative
914," খাদ্য এবং সেবা অনেক ভাল হতে পারে, যদিও Ambiance এবং বায়ুমণ্ডল মহান ছিল।",positive
915,আমরা সবসময় সপ্তাহান্তে সেখানে যাই এবং অত্যন্ত পূর্ণ এবং সন্তুষ্ট হয়ে আসি।,positive
916,"কিভাবে don’t,আমি এই স্থানে এখনও চলমান ।",negative
917,"আমাদের খাদ্য এবং পানীয় সেবা ভাল ছিল,এবং সার্ভার সত্যিই শান্ত ছিল ।",positive
918,আমরা খাদ্য অনুসন্ধানে ছিলাম এবং পূর্ব ছয় রাস্তার ভারতীয় রেস্টুরেন্টের এই ব্লকের উপর হোঁচট খেয়েছি,negative
919," আমি সাধারণত সুশির জন্যে সেখানে যাই, থাই খাবার খুব চমৎকার,প্ল্যানেট থাইল্যান্ড সবসময় আমার সাথে একটি আঘাত হয়েছে।",positive
920,"তাদের স্টার্লিং ট্র্যাক রেকর্ড একটি নিম্ন পয়েন্ট ছিল,যে স্বল্পমেয়াদী শেফ জেসন Narone নেভিগেশন সরানো হয়েছে, সে শুনতে খুব উত্তেজিত ছিল",negative
921,চমৎকার অভিজ্ঞতা।,positive
922,"ওয়েল মূল্য,কাছাকাছি ট্রিপ,শহরের হল এবং ডাউনটাউন সাবওয়ে স্টপ বন্ধ ।",positive
923,"সেবা  যদিও অবাধ্য একটি অযৌক্তিক ছিল,  আমার টেবিলের ভাগ ছিল বাচ্চাদের একটি অট্ট গ্রুপের সঙ্গে ",negative
924,"সেবা  যদিও অবাধ্য একটি অযৌক্তিক ছিল,  আমার টেবিলের ভাগ ছিল বাচ্চাদের একটি অট্ট গ্রুপের সঙ্গে ",negative
925,আপনি আরও কি হতে পারে?,positive
926,"যদি আপনি এমন ধরনের ব্যক্তি হন যে ভীত ও আনন্দিত হওয়ার মত পছন্দ করেন, তবে এটি একটি দুর্দান্ত জায়গা যেখানে যেতে এবং খেতে হয় সমস্যা নেই।",positive
927,"সব ঠিক আছে, আমি দেখতে পাচ্ছি না কিভাবে আপনি ভুল করতে পারেন পারেন।",positive
928,পিজা উপর সস রসুন এবং তাজা টমেটো সঙ্গে soos ভাল তারা skimp না।,positive
929,"আমরা সম্প্রতি এই অবস্থান নেয়ার সিদ্ধান্ত  নিয়েছি,  আমাদের আনন্দের জন্যে, আমাদে বহিরঙ্গন আসন নিখুঁত ছিল ",positive
930,"তিনি সব 3 কোর্স উপভোগ করন,আমার স্বামী mesclun, স্যামন, এবং আইসক্রীম ছিল পছন্দ করন।",positive
931,আমাদের বলা হয়েছিল যে অপেক্ষাটি প্রায় বিশ মিনিট এবং আমাদের 8:00 টা পর্দার পর কল করার জন্য কোন সমস্যা হবে না।,negative
932,খাদ্য সাধারণত ভাল হয় কিন্তু এটি অবশ্যই একটি আরামদায়ক স্থান যেতে না হয়।,positive
933,খাদ্য সাধারণত ভাল হয় কিন্তু এটি অবশ্যই একটি আরামদায়ক স্থান যেতে না হয়।,negative
934,আমি বলেছি যে এটি ভাল এবং 24 ঘন্টা খোলা।,positive
935,"সুপার বন্ধুত্বপূর্ণ এবং বুদ্ধিমান কর্মীদের জন্য, কল্পিত bistro ভাড়া এবং মহান লাইভ জ্যাজ সঙ্গে একটি বিস্ময়কর জ্যাজ ব্রুন (চিলক্লিস্টস ছিল সন্ত্রস্ত!",positive
936,"সুপার বন্ধুত্বপূর্ণ এবং বুদ্ধিমান কর্মীদের জন্য, কল্পিত bistro ভাড়া এবং মহান লাইভ জ্যাজ সঙ্গে একটি বিস্ময়কর জ্যাজ ব্রুন (চিলক্লিস্টস ছিল সন্ত্রস্ত!",positive
937,"সুপার বন্ধুত্বপূর্ণ এবং বুদ্ধিমান কর্মীদের জন্য, কল্পিত bistro ভাড়া এবং মহান লাইভ জ্যাজ সঙ্গে একটি বিস্ময়কর জ্যাজ ব্রুন (চিলক্লিস্টস ছিল সন্ত্রস্ত!",positive
938,কল্পনাপ্রসূত দাম  ছিল।,positive
939,কি একটি মহান জায়গা!,positive
940,"তবুও, বিল সম্পর্কে যেকোনো কৌতুকবৃদ্ধি বন্ধ করে দেওয়া হয়েছিল- আপনার নিজের লোলারের ব্যবস্থাগুলি যা বাড়ির কোর্টে ছিল ..",positive
941,"তবুও, বিল সম্পর্কে যেকোনো কৌতুকবৃদ্ধি বন্ধ করে দেওয়া হয়েছিল- আপনার নিজের লোলারের ব্যবস্থাগুলি যা বাড়ির কোর্টে ছিল ..",negative
942,"আমি বুঝতে পেরেছি যে তারা ব্যস্ত ছিল। টেবিল সেবা একটু বেশি মনোযোগী হতে পারে কিন্তু যে কেউ পরিষেবা শিল্পে কাজ করে, ",negative
943,"এটা মন-ফুঁ নয়, কিন্তু আমার কাছে, থাই খাবার কখনোই হবে না এবং কখনো হবে না।",negative
944,"খাদ্য খুব ভালো ছিল, আমরা বাজেট নির্বাচন চেষ্টা বিবেচনা করি (যদিও আমি আদেশ যে শুয়োরের মাটি পেট একটু বেশি রোস্ট করা ছিল, যাতে চর্বি একটি গলিত ইন-আপনার মুখ অভিজ্ঞতা ছিল)",negative
945,"যদিও, এক রাতে আমরা গিয়েছিলাম এটি চিত্তাকর্ষক ছিল, এবং অন্য রাতে এটি কম চকচকে ছিল।",negative
946,"যদিও, এক রাতে আমরা গিয়েছিলাম এটি চিত্তাকর্ষক ছিল, এবং অন্য রাতে এটি কম চকচকে ছিল।",negative
947,আমি নীলকান্তমণি থেকে দুইবার ভালভাবে গিয়েছিলাম এবং উভয় বারই খাদ্য ভাল ছিল ,positive
948,"একটি সুন্দর ডিনার উপভোগ করার জন্য এটি একটি সুন্দর জায়গা,যা কৌতুকের শব্দ",negative
949,আশ্চর্যজনক হতাশায়,negative
950,আমার ভালবাসা সত্য তাই পিজার স্বাদ  ভাল এবং সস্তা।,positive
951,আমার ভালবাসা সত্য তাই পিজার স্বাদ  ভাল এবং সস্তা।,positive
952,একটি চিকিত্সা বার এ নাক নিকি ।,positive
953,"আমি 6 এর একটি গ্রুপ সঙ্গে কাজ করি, পরে রুবি Foo এর গিয়েছিলাম",negative
954,আমি আশ্চর্য হয়েছি যে এই জায়গাটি থেকে এখনো আমরা বেরিয়ে যচ্ছি না।,negative
955,"মহান সেবা প্রম্পট, বন্ধুত্বপূর্ণ ছিল।",positive
956,"আমি যে হিসাবে সুস্বাদু একটি মেষশাবক খাওয়া নেই, স্যালাড সত্যিই লেবু এবং অতিরিক্ত কুমারী জলপাই সুন্দর তেল সঙ্গে পরিহিত ভাল ছিল ।",positive
957,ভয়াবহ সুস্বাদু ছিল !,negative
958, এনওয়াইসি কাটজ  একটি মূল যা 100 বছরেরও বেশি সময় ধরে রয়েছে,positive
959,আপনি এখানে একটি সুস্বাদু খাবারের খরচ জন্য কাছাকাছি লেক্সিংটন এভিনিউতে যেতেন তাহলে ভারতীয় রেস্টুরেন্টের অধিকাংশ চমৎকার একটি  খাবার পেতেন।,negative
960,"এটি একটি আনন্দদায়ক অভিজ্ঞতা ছিল যা,Pastrami স্যান্ডউইচ buttah মত ছিল এবং টুকরা এবং একটি বরফের ঠান্ডা বিয়ার এটি ধোয়া নিচে ছিল",positive
961,"বিশ্রামের জন্য কিছুই ছিল না,প্লেইন পিজা ছিল ভঙ্গুর এবং সৃজনশীল বন্য মাশরুম (তৃতীয় প্রজন্মের- ফোরনিনি) পিজা যা আমরা মাঝখানে truffle তেল দিয়ে ডুবিয়ে ছিলাম (আবার এটি ভোঁতা করা) ",negative
962,"উল্লিখিত nite omelletes এখানে ভাল মানর না,কারণ কোন বৈচিত্র নেই।",negative
963,সাএলএ থাই এ সবই সুস্বাদু এবং ভাল অংশ,positive
964,"পরে সব , তারা ছোট টিপ সম্পর্কে অভিযোগ করে।",negative
965,এটি একটি সস্তা লাঞ্চ বা ডিনার বাছাই করার জন্য একটি দুর্দান্ত জায়গা।,positive
966,"এই পাল্টার পিছনে, দুই পুরুষদের মধ্যে চিপানো হয়",negative
967,খুঁজে গ্রেট ,positive
968,"তারা একটি পুদিনা করতে চায়,যদিও তারা শুধুমাত্র বিতরণ করবে",positive
969,"যখনই আপনার একটি সুশি ফিক্স প্রয়োজন,  তখনই আপনি Mizu মানের মাছ এবং মহান সেবা দিতে পারবেন।",positive
970,"যখনই আপনার একটি সুশি ফিক্স প্রয়োজন,  তখনই আপনি Mizu মানের মাছ এবং মহান সেবা দিতে পারবেন।",positive
971,"নিন্দুক না, আমাদের ওয়েট্রেস মিষ্টি এবং মিটমাট করা ছিল না।",positive
972,"আমার স্ত্রীর সঙ্গে গিয়েছিলাম এবং আমরা একটি টেবিলের জন্য অপেক্ষায় ছিলাম, ",negative
973,"আমি সত্যিই হতাশ, পিঁপড়া সবাই সেখানে থেকে খাদ্য খেতে গ্রহণ করে না।  ",negative
974,"চমত্কার চেহারা তোলে ওয়েবসাইট এবং রেটিং এই জায়গায়,কিন্তু বাস্তবতা এটি খুব হতাশাজনক ছিল।",negative
